N,P,K,temperature,humidity,pH,rainfall,crop,area_code
81,54,51,29.2,74.7,5.7,191.8,coffee,500002
122,52,74,27.7,74.2,6.8,296.0,coffee,500001
44,24,23,19.6,65.2,7.0,198.5,rice,500001
101,61,74,24.3,73.0,6.7,165.8,maize,500001
90,58,30,22.5,72.0,7.4,226.7,maize,500001
50,60,75,22.1,78.5,6.2,148.0,sugarcane,500003
112,47,78,34.5,79.1,6.1,115.2,maize,500003
116,26,36,24.7,61.4,7.2,125.8,rice,500001
104,28,57,33.2,71.2,5.9,125.6,coffee,500002
104,27,43,28.7,78.8,7.4,130.4,maize,500002
117,31,24,31.5,75.1,5.5,127.8,sugarcane,500002
129,53,71,26.5,85.7,7.4,228.2,maize,500002
53,52,53,27.8,79.8,5.6,136.4,rice,500001
32,67,25,26.4,64.9,7.3,169.1,sugarcane,500003
51,42,41,21.3,62.1,6.6,279.4,maize,500002
82,43,30,30.3,79.3,7.5,194.8,sugarcane,500001
31,56,67,22.8,60.8,5.6,233.5,rice,500002
117,54,35,18.4,77.6,6.6,134.5,coffee,500002
59,63,52,29.0,88.2,7.4,138.5,rice,500001
67,59,28,21.0,77.3,6.5,108.2,rice,500003
31,41,79,34.0,71.6,6.8,133.8,rice,500003
93,46,78,34.2,79.3,6.9,155.7,rice,500001
89,54,25,33.6,73.7,6.4,135.4,coffee,500003
50,20,35,24.3,76.4,6.8,117.7,coffee,500001
62,54,48,18.3,88.2,6.7,124.1,sugarcane,500001
105,56,22,33.8,71.6,7.3,192.2,maize,500001
87,66,39,25.3,88.8,5.6,141.3,coffee,500003
51,33,79,34.4,87.2,6.1,172.9,coffee,500001
118,22,78,34.4,65.9,7.4,200.7,maize,500002
78,20,55,32.5,62.1,7.3,238.1,coffee,500003
120,24,38,23.0,63.0,6.4,107.9,rice,500003
88,45,45,24.5,60.5,6.7,259.9,rice,500003
71,33,22,32.5,62.8,6.1,225.6,maize,500003
121,58,38,23.4,80.5,5.9,116.4,sugarcane,500002
89,46,39,20.9,62.1,6.4,274.7,sugarcane,500003
109,28,51,27.5,69.6,6.2,284.2,maize,500003
44,34,26,33.9,85.3,6.7,112.2,maize,500001
91,34,71,29.8,60.7,5.7,155.4,rice,500003
91,45,60,27.7,84.4,7.4,261.2,sugarcane,500002
76,61,52,19.7,68.5,7.5,249.7,coffee,500002
91,32,59,28.5,63.5,6.9,136.9,rice,500002
80,51,58,34.8,80.9,6.6,141.9,maize,500002
84,58,37,20.4,78.9,6.1,174.1,sugarcane,500003
93,68,59,26.8,86.3,7.1,196.9,coffee,500003
32,51,20,32.9,82.1,6.9,223.7,coffee,500002
80,23,30,30.6,84.1,5.8,173.8,rice,500002
36,49,47,29.8,68.5,7.3,192.5,sugarcane,500003
50,56,76,29.9,65.3,7.1,249.5,sugarcane,500002
102,42,44,24.1,82.5,7.4,107.3,maize,500001
68,58,69,23.0,84.2,7.0,150.5,sugarcane,500002
47,64,42,31.8,89.7,6.7,242.7,sugarcane,500002
33,34,50,31.8,72.4,6.3,279.0,rice,500001
118,62,49,32.7,71.2,7.4,202.3,sugarcane,500001
89,48,61,33.5,83.3,7.2,206.4,coffee,500003
43,55,54,26.7,70.2,5.6,121.4,rice,500003
38,32,26,26.5,87.9,5.6,189.5,rice,500001
119,51,79,31.6,85.8,6.3,206.5,maize,500001
82,26,35,29.0,72.9,7.1,148.5,sugarcane,500003
31,41,45,29.9,82.5,7.5,153.8,maize,500002
113,47,67,31.5,82.6,5.8,175.5,coffee,500001
121,21,76,33.1,63.1,6.7,104.0,rice,500003
89,61,71,23.7,87.1,6.3,164.4,rice,500002
100,64,79,24.4,75.2,7.4,142.3,rice,500001
73,25,68,19.6,84.8,7.2,165.5,coffee,500002
37,47,21,27.8,69.6,7.2,124.0,coffee,500003
76,47,20,18.6,86.9,6.4,278.1,maize,500001
64,63,67,25.9,71.7,6.3,218.7,maize,500002
